label,text
Encroachment,in mall is music on and this is time that raising this ticket
Drainage,over flow
Electrical,street light is not working
Traffic,please repair road at
Electrical,please make street light functional at to office road
Garden,the of these cause obstruction to the street and because of which there is problem in the street lamp usage and
Electrical,the street are not in the lane where the victoria garden and imperial residence are situated which the way very dark at
Garbage,garbage is not collected from the society from more than one
Garbage,sweeping not done
Garbage,garbage dump
Garbage,garbage vehicle not
Garbage,not
Garbage,public cleaning
Garbage,no electricity in public
Garbage,public blockage
Road,hello this is regarding on the road next to and hospital for not continuous this is especially considering the toll point of board which is really blocking the traffic and making the honk
Garden,have illegally most of the in the the place is very dirty to please do not allow inside the
Electrical,the light is
Health,dengue mosquito in this of and
Drainage,drainage manhole chamber on the north side of municipal dispensary needs sides of this manhole are becoming hollow and could lead to manhole manhole is in the passage on the north side of please attend and do the
Road,just nearby ruby hall clinic very difficult for ambulance and to carry please repair that road
Garbage,spreading in nearby area and badly
Garbage,dead
Garden,tree are dangerously coming on the i have made a written complaint to garden department days back but no action is it might cause a big
Health,line
Garden,garden made hot tari
Garbage,no water supply in public
Road,please correct the
Health,garbage dump
Building Permission,chowk sus road society many going the are being used as by covering with glass the alternate dry are being taken over by outer side terrace and the excess space is being used as storage and kitchen too in and c the podium floor dry are being extended the are extended the window are taken out and the entire window is outside on a make iron slab on request you to supervise the in this society and take against these and whilst doing the surprise i also request the name of the complainant to be kept secret to avoid within the society
Property Tax,please provide or a
Garbage,litter on the road to be picked i am not able to add this is in the lane behind the food
Water Supply,water pressure is low in this area
Water Supply,no water supply in public
Road,garbage dump
Road,we had a road divider after our society gate but all off a sudden there are road on the divider not to cross the please do the needful and please remove those
Drainage,drainage line completely blocked
Health,dead
Encroachment,tea stall gas cylinder near transform fire hazard
Road,hoarding on foot path
Health,public blockage
Encroachment,three old came overnight in front of our building
Health,garbage vehicle not
Water Supply,water wastage due to leakage in front of nana nagari
Garbage,huge
Health,sweeping not done
Garbage,please clean the it is nearby hospital and residential area
Garbage,extremely dangerous just near by ruby hall clinic infected stay here as well as area is not by authority at very
Health,madam burning of solid waste in the adjoining of our society on regular basic causing air pollution due to this we have to keep of our shut and cant sit in please resolve this thanks singh
Health,madam there is a growing mosquito problem in our society to avoid any related untoward health like dengue and malaria perform mosquito in this area as soon as thanks singh
Electrical,no electricity in public
Road,divider che padle
